reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R00733(r)/1.3.1A4(rev)/1.3.1.78,1.3.1.79;	1/1.3.1A1(rev);	0.577373	0.615385	0.514286	0.431034	0.464286	0.517857	0.554054	0.626667	0.717949
R03930(r)/1.3.1A2(rev)/1.3.1.17;	1/1.3.1A1(rev);	0.574413	0.777778	0.571429	0.471698	0.458824	0.491525	0.554054	0.626667	0.674699
R03930(r)/1.3.1A2(rev)/1.3.1.17;	1/1.3.1A1(rev);	0.574413	0.777778	0.571429	0.471698	0.458824	0.491525	0.554054	0.626667	0.674699
R11927(r)/1.3.1A2(rev)/1.3.1.113;	1/1.3.1A1(rev);	0.561713	1	0.642857	0.464286	0.454545	0.460317	0.554054	0.602564	0.636364
R07015(r)/1.3.1A2(rev)/1.3.1.20;	1/1.3.1A1(rev);	0.560102	0.777778	0.533333	0.444444	0.452381	0.517857	0.554054	0.580247	0.643678
R04115(r)/1.3.1A1(rev)/1.3.1.29;	1/1.3.1A1(rev);	0.560102	0.777778	0.533333	0.444444	0.452381	0.517857	0.554054	0.580247	0.643678
R05275(r)/1.3.1A1(rev)/1.3.1.64;	1/1.3.1A1(rev);	0.558376	0.777778	0.5	0.423729	0.428571	0.47541	0.518987	0.602564	0.736842
R03930(r)/1.3.1A2(rev)/1.3.1.17;	1/1.3.1A1(rev);	0.556962	0.777778	0.533333	0.438596	0.428571	0.467742	0.539474	0.618421	0.674699
R09228(r)/1.3.1A1(rev)/;	1/1.3.1A1(rev);	0.552764	0.777778	0.470588	0.384615	0.402062	0.460317	0.532468	0.635135	0.727273
R11067/1.3.1A1(rev)/;	1/1.3.1A1(rev);	0.55198	1	0.692308	0.5	0.487805	0.508772	0.518987	0.52809	0.615385
R04115(r)/1.3.1A1(rev)/1.3.1.29;	1/1.3.1A1(rev);	0.551637	0.777778	0.571429	0.444444	0.452381	0.491525	0.525641	0.580247	0.643678
R05240(r)/1.3.1A1(rev)/1.3.1.58;	1/1.3.1A1(rev);	0.550816	0.777778	0.5	0.4	0.419355	0.47541	0.561644	0.602564	0.658824
R04115(r)/1.3.1A1(rev)/1.3.1.29;	1/1.3.1A1(rev);	0.5475	0.777778	0.571429	0.428571	0.431818	0.491525	0.525641	0.580247	0.643678
R05239(r)/1.3.1A1(rev)/1.3.1.56;	1/1.3.1A1(rev);	0.544776	0.777778	0.5	0.413793	0.431818	0.5	0.546667	0.580247	0.622222
R05239(r)/1.3.1A1(rev)/1.3.1.56;	1/1.3.1A1(rev);	0.544776	0.777778	0.5	0.413793	0.431818	0.5	0.546667	0.580247	0.622222
R04115(r)/1.3.1A1(rev)/1.3.1.29;	1/1.3.1A1(rev);	0.540741	0.777778	0.533333	0.413793	0.422222	0.483333	0.518987	0.580247	0.643678
R03763(r)/1.3.1A1(rev)/1.3.1.5;	1/1.3.1A1(rev);	0.539952	1	0.75	0.52	0.526316	0.54717	0.554054	0.522222	0.495575
R03764(r)/1.3.1A2(rev)/1.3.1.5;	1/1.3.1A1(rev);	0.539952	1	0.75	0.52	0.526316	0.54717	0.554054	0.522222	0.495575
R04115(r)/1.3.1A1(rev)/1.3.1.29;	1/1.3.1A1(rev);	0.539409	0.777778	0.5	0.413793	0.422222	0.483333	0.518987	0.580247	0.643678
R07015(r)/1.3.1A2(rev)/1.3.1.20;	1/1.3.1A1(rev);	0.539409	0.777778	0.5	0.413793	0.422222	0.483333	0.518987	0.580247	0.643678
R07015(r)/1.3.1A2(rev)/1.3.1.20;	1/1.3.1A1(rev);	0.539409	0.777778	0.5	0.413793	0.422222	0.483333	0.518987	0.580247	0.643678
R04115(r)/1.3.1A1(rev)/1.3.1.29;	1/1.3.1A1(rev);	0.539409	0.777778	0.5	0.413793	0.422222	0.483333	0.518987	0.580247	0.643678
R04115(r)/1.3.1A1(rev)/1.3.1.29;	1/1.3.1A1(rev);	0.539409	0.777778	0.5	0.413793	0.422222	0.483333	0.518987	0.580247	0.643678
R04115(r)/1.3.1A1(rev)/1.3.1.29;	1/1.3.1A1(rev);	0.528986	0.777778	0.470588	0.387097	0.404255	0.467742	0.5125	0.580247	0.643678
R07015(r)/1.3.1A2(rev)/1.3.1.20;	1/1.3.1A1(rev);	0.528986	0.777778	0.470588	0.387097	0.404255	0.467742	0.5125	0.580247	0.643678
R05241(r)/1.3.1A1(rev)/1.3.1.56;	1/1.3.1A1(rev);	0.528986	0.777778	0.5	0.413793	0.431818	0.5	0.532468	0.552941	0.583333
R05241(r)/1.3.1A1(rev)/1.3.1.56;	1/1.3.1A1(rev);	0.528986	0.777778	0.5	0.413793	0.431818	0.5	0.532468	0.552941	0.583333
R04910/1.3.1A2(rev)/;	1/1.3.1A1(rev);	0.527578	0.777778	0.533333	0.454545	0.448276	0.483333	0.518987	0.52809	0.595745
R06910(r)/1.3.1A1(rev)/1.3.1.29;	1/1.3.1A1(rev);	0.506944	0.777778	0.470588	0.387097	0.395833	0.446154	0.488095	0.546512	0.608696
