Genes	Gene
b3666	uhpT
b0731	mngA
b0343	lacY
b4120	melB
b0197	metQ
b0199	metN
b0198	metI
b1297	puuA
b2933	cmtA
b3599	mtlA
b2934	cmtB
b1186	nhaB
b0019	nhaA
b0451	amtB
b0751	pnuC
b1223	narK
b3367	nirC
b1469	narU
b3726	pstA
b3728	pstS
b3727	pstC
b3725	pstB
b3258	panF
b3371	frlB
b2679	proX
b2677	proV
b2678	proW
b0402	proY
b1015	putP
b0855	potG
b1123	potD
b0856	potH
b1126	potA
b0854	potF
b1441	ydcT
b0857	potI
b1443	ydcV
b1124	potC
b1125	potB
b1440	ydcS
b1442	ydcU
b2957	ansB
b0150	fhuA
b1865	nudB
b2954	rdgB
b1002	agp
b2938	speA
b4090	rpiB
b4084	alsK
b4085	alsE
b3748	rbsD
b3751	rbsB
b3750	rbsC
b4230	ytfT
b4227	ytfQ
b4231	yjfF
b3749	rbsA
b4485	ytfR
b0260	mmuP
b0810	glnP
b0809	glnQ
b0811	glnH
b1492	gadC
b3653	gltS
b3927	glpF
b3959	argB
b2170	setB
b0070	setA
b1528	ydeA
b2303	folX
b3028	mdaB
b3432	glgB
b3503	arsC
b4321	gntP
b3792	wzxE
b2033	wbbJ
b2034	wbbI
b2037	rfbX
b2175	mepS
b0356	frmA
b2240	glpT
b0875	aqpZ
b0353	mhpT
b2309	hisJ
b0325	yahK
b2092	gatC
b2093	gatB
b2094	gatA
b3093	exuT
b3415	gntT
b4476	gntU
b1621	malX
b2021	hisC
b0166	dapD
b1519	tam
b3437	gntK
b4268	idnK
b3805	hemC
b3904	rhaB
b2482	hyfB
b2484	hyfD
b2488	hyfH
b2723	hycC
b2485	hyfE
b2483	hyfC
b2724	hycB
b2721	hycE
b2490	hyfJ
b2719	hycG
b4079	fdhF
b2481	hyfA
b2486	hyfF
b2722	hycD
b2720	hycF
b2487	hyfG
b2489	hyfI
b2747	ispD
b3213	gltD
b1761	gdhA
b3212	gltB
b0186	ldcC
b4131	cadA
b1189	dadA
b2888	uacT
b2882	xanQ
b3453	ugpB
b3450	ugpC
b3451	ugpE
b3452	ugpA
b2536	hcaT
b0212	gloB
b3779	gpp
b2868	xdhC
b2867	xdhB
b2866	xdhA
b4311	nanC
b1991	cobT
b3502	arsB
b1444	patD
b2927	epd
b2023	hisH
b2025	hisF
b3640	dut
b0425	panE
b3772	ilvA
b0931	pncB
b1764	selD
b2150	mglB
b2149	mglA
b2148	mglC
b1640	anmK
b0048	folA
b1606	folM
b3390	aroK
b0388	aroL
b1745	astB
b0114	aceE
b0115	aceF
b3128	garD
b2255	arnA
b0774	bioA
b1605	ydgI
b2818	argA
b1489	dosP
b3032	cpdA
b0334	prpD
b0092	ddlB
b0381	ddlA
b1738	chbB
b2715	ascF
b1736	chbA
b1737	chbC
b2224	atoB
b1216	chaA
b0842	mdfA
b3350	kefB
b0047	kefC
b0728	sucC
b0729	sucD
b0650	hscC
b0757	galK
b0133	panC
b2165	psuG
b3389	aroB
b2366	dsdA
b1723	pfkB
b0755	gpmA
b3612	gpmM
b3919	tpiA
b2914	rpiA
b2320	pdxB
b1107	nagZ
b1539	ydfG
b3823	rhtC
b0813	rhtA
b2919	scpB
b3870	glnA
b2947	gshB
b2253	arnB
b2254	arnC
b2256	arnD
b2258	arnF
b4544	arnE
b3621	waaC
b1781	yeaE
b3001	gpr
b3620	waaF
b3624	waaZ
b3629	waaS
b3628	waaB
b3627	waaO
b3850	hemG
b3630	waaP
b3632	waaQ
b3625	waaY
b2810	csdA
b1680	sufS
b3867	hemN
b3824	rhtB
b2133	dld
b2260	menE
b1919	dcyD
b2578	eamB
b1533	eamA
b4394	yjjX
b2499	purM
b3825	pldB
b2835	lplT
b3029	ygiN
b2889	idi
b3821	pldA
b2146	preT
b2147	preA
b4478	dgoD
b1380	ldhA
b2965	speC
b0693	speF
b0954	fabA
b1288	fabI
b0175	cdsA
b3918	cdh
b1912	pgsA
b2585	pssA
b1093	fabG
b1661	cfa
b1006	rutG
b2497	uraA
b1488	ddpX
b3541	dppD
b3543	dppB
b3540	dppF
b1487	ddpA
b3544	dppA
b1486	ddpB
b1483	ddpF
b1484	ddpD
b1485	ddpC
b3542	dppC
b0832	gsiD
b0831	gsiC
b0829	gsiA
b0830	gsiB
b0789	clsB
b1249	clsA
b0657	lnt
b1677	lpp
b0418	pgpA
b0508	hyi
b0613	citG
b1301	puuB
b0805	fiu
b2155	cirA
b0576	pheP
b0594	entE
b0376	ampH
b0632	dacA
b0839	dacC
b2010	dacD
b2430	yfeW
b3182	dacB
b3833	ubiE
b0514	glxK
b0089	ftsW
b3396	mrcA
b2519	pbpC
b1069	murJ
b3208	mtgA
b0149	mrcB
b0635	mrdA
b0084	ftsI
b0925	ldtD
b1678	ldtE
b0355	frmB
b2154	yeiG
b2893	dsbC
b0604	dsbG
b3930	menA
b3994	thiC
b1710	btuE
b2480	bcp
b0429	cyoD
b0432	cyoA
b0431	cyoB
b0430	cyoC
b4041	plsB
b0180	fabZ
b2413	cysZ
b3018	plsC
b4042	dgkA
b4160	psd
b0723	sdhA
b0722	sdhD
b0724	sdhB
b0721	sdhC
b0494	tesA
b1276	acnA
b0118	acnB
b3447	ggt
b1990	ldtA
b1113	ldtC
b0819	ldtB
b2813	mltA
b0211	mltD
b1097	mltG
b1193	emtA
b2701	mltB
b4392	slt
b2963	mltC
b2558	mltF
b3546	eptB
b1655	mepH
b2328	mepA
b2134	pbpG
b1856	mepM
b1185	dsbB
b3860	dsbA
b4136	dsbD
b0606	ahpF
b0605	ahpC
b0221	fadE
b2285	nuoE
b2286	nuoC
b2288	nuoA
b2283	nuoG
b2279	nuoK
b2278	nuoL
b2276	nuoN
b2284	nuoF
b2282	nuoH
b2281	nuoI
b2277	nuoM
b2287	nuoB
b2280	nuoJ
b1801	yeaV
b4208	cycA
b0007	yaaJ
b0874	lysO
b2923	argO
b0037	caiC
b1734	chbF
b2467	nudK
b0404	acpH
b0314	betT
b4474	frlC
b3370	frlA
b3816	corA
b3040	zupT
b2373	oxc
b4233	mpl
b3196	yrbG
b3691	dgoT
b2843	kduI
b2156	lysP
b4130	dtpC
b4356	lgoT
b4358	lgoD
b3431	glgX
b0155	clcA
b0684	fldA
b1378	ydbK
b2895	fldB
b0777	bioC
b0641	lptE
b3201	lptB
b3200	lptA
b4261	lptF
b4262	lptG
b3199	lptC
b0054	lptD
b1025	dgcT
b1490	dosC
b1535	dgcZ
b1794	dgcP
b1341	dgcM
b2503	pdeF
b0315	pdeL
b1285	pdeR
b3525	pdeH
b0009	mog
b0784	moaD
b2530	iscS
b2470	acrD
b0463	acrA
b0462	acrB
b1394	paaG
b1090	plsX
b3059	plsY
b2529	iscU
b1683	sufB
b1684	sufA
b1682	sufC
b1681	sufD
b0827	moeA
b3856	mobB
b3857	mobA
b3058	folB
b1634	dtpA
b3496	dtpB
b0709	dtpD
b2528	iscA
b1679	sufE
b0775	bioB
b1009	rutD
b0444	queC
b2794	queF
b1008	rutE
b2765	queD
b2263	menH
b1011	rutB
b1010	rutC
b0968	yccX
b2264	menD
b2262	menB
b1686	menI
b3991	thiG
b3992	thiF
b0423	thiI
b3990	thiH
b4407	thiS
b2877	mocA
b2374	frc
b1392	paaE
b1391	paaD
b1390	paaC
b1388	paaA
b1389	paaB
b1397	paaJ
b1395	paaH
b1007	rutF
b1012	rutA
b0785	moaE
b3893	fdoH
b1474	fdnG
b3894	fdoG
b1475	fdnH
b3892	fdoI
b1476	fdnI
b0776	bioF
b3412	bioH
b2515	ispG
b4238	nrdD
b4237	nrdG
b3924	fpr
b4209	ytfE
b1387	paaZ
b1393	paaF
b2912	fau
b2174	lpxT
b0826	moeB
b0781	moaA
b0783	moaC
b0630	lipB
b0628	lipA
b4386	lplA
b1385	feaB
b2917	scpA
b3572	avtA
b4129	lysU
b3722	bglF
b0681	chiP
b1473	yddG
b3882	yihU
b1600	mdtJ
b1599	mdtI
b2660	lhgO
b4167	nnr
b2670	alaE
b3070	nfeF
b0269	yagF
b4297	yjhG
b4298	yjhH
b0268	yagE
b3715	yieH
b0516	allC
b0515	allE
b1617	uidA
b1695	ydiO
b1771	ydjG
b2907	ubiH
b0543	emrE
b1601	tqsA
b0624	crcB
b3880	yihS
b3881	yihT
b3877	yihP
b3876	yihO
b1511	lsrK
b2371	yfdE
b2989	yghU
b2302	yfcG
b1619	hdhA
b4337	mdtM
b1338	abgA
b1337	abgB
b1336	abgT
b2873	hyuA
b1430	tehB
b1396	paaI
b3943	yijE
b0578	nfsB
b3253	yhdH
b1022	pgaC
b1021	pgaD
b1733	chbG
b4266	idnO
b3493	pitA
b2987	pitB
b0401	brnQ
b4141	yjeH
b1798	leuE
b3662	nepI
b1592	clcB
b2842	kduD
b4020	yjbB
b1985	yeeO
b1516	lsrB
b1513	lsrA
b1514	lsrC
b1515	lsrD
b1518	lsrG
b3240	aaeB
b3241	aaeA
b1449	curA
b2245	yfaU
b1448	mnaT
b3656	yicI
b3883	yihV
b3966	btuB
b4098	phnJ
b3488	yhiJ
b1813	nudL
b2166	psuK
b1103	hinT
b4100	phnH
b4101	phnG
b4096	phnL
b4099	phnI
b4095	phnM
b4092	phnP
b2047	wcaJ
b4106	phnC
b4104	phnE
b4105	phnD
b0662	ubiF
b2906	ubiI
b1400	paaY
b2683	ygaH
b2682	ygaZ
b1821	mntP
b2164	psuT
b1616	uidB
b1517	lsrF
b0577	ybdG
b0465	mscK
b3291	mscL
b4159	mscM
b2924	mscS
b1330	ynaI
b0808	ybiO
b2247	rhmD
b0597	entH
b1870	cmoA
b3116	tdcC
b2796	sdaC
b4093	phnO
b3878	yihQ
b1206	dauA
